__run_id,__done,input_size,sampling_rate,cache_strategy,input_description,execution_time,average_cpu_usage,memory_usage,energy_consumption,dram_energy,package_energy,pp0_energy,pp1_energy
run_0_repetition_0,DONE,4,200,edit_distance,4 x 4 strings,0.24206476,8.41765881,33589.43619792,7.635503234863281,0.0,0.0,0.0,0.0
run_1_repetition_0,DONE,4,200,edit_distance_cache,4 x 4 strings,0.2290884,17.26190492,33555.37630208,8.843230819702148,0.0,0.0,0.0,0.0
run_2_repetition_0,DONE,4,200,edit_distance_lru_cache,4 x 4 strings,0.23613408,4.84623019,33566.7578125,7.63400244140625,0.0,0.0,0.0,0.0
run_3_repetition_0,DONE,8,200,edit_distance,8 x 8 strings,0.23730192,8.57233049,33602.484375,7.484903930664062,0.0,0.0,0.0,0.0
run_4_repetition_0,DONE,8,200,edit_distance_cache,8 x 8 strings,0.23349953,6.79563518,33587.33203125,7.559978851318359,0.0,0.0,0.0,0.0
run_5_repetition_0,DONE,8,200,edit_distance_lru_cache,8 x 8 strings,0.23558529,7.6839827,33579.2421875,7.511149738311767,0.0,0.0,0.0,0.0
run_6_repetition_0,DONE,12,200,edit_distance,12 x 12 strings,0.22465535,7.29819345,33547.08984375,7.332358760833741,0.0,0.0,0.0,0.0
run_7_repetition_0,DONE,12,200,edit_distance_cache,12 x 12 strings,0.23122504,8.84740268,32887.49609375,7.142164215087891,0.0,0.0,0.0,0.0
run_8_repetition_0,DONE,12,200,edit_distance_lru_cache,12 x 12 strings,0.24007909,6.86507952,32903.25,7.352704467773437,0.0,0.0,0.0,0.0
