"X__run_id","cache_strategy","input_description","execution_time","execution_time_1","execution_time_2","average_cpu_usage","memory_usage","energy_consumption","size_of_input","function_name","implementation","category"
"run_2_repetition_0","generate_permutations_lru_cache","5 nums",3.58059769496322e-05,2.54549668170512e-05,5.39002940058708e-07,6.35416685,28463.84114583,7.46833351135254,"small","generate_permutations","lru_cached","Non-Recursive"
"run_3_repetition_0","generate_permutations","8 nums",0.0133947849972174,0.00488160998793319,0.00850181700661778,5.66677117,28465.41796875,7.31426863479614,"medium","generate_permutations","base","Non-Recursive"
"run_4_repetition_0","generate_permutations_cache","8 nums",0.00528376898728311,0.00526726298267022,1.48103572428226e-06,7.91327302,28470.4296875,7.38639652633667,"medium","generate_permutations","cached","Non-Recursive"
"run_5_repetition_0","generate_permutations_lru_cache","8 nums",0.00432919495506212,0.00431879895040765,7.13975168764591e-07,6.60714291,28473.14453125,7.93057987976074,"medium","generate_permutations","lru_cached","Non-Recursive"
"run_6_repetition_0","generate_permutations","11 nums",12.8917591290083,6.49675354699139,6.39498090400593,7.78724044,30238.17857976,857.665265827179,"large","generate_permutations","base","Non-Recursive"
"run_7_repetition_0","generate_permutations_cache","11 nums",4.94363486097427,4.94361263600877,1.65594974532723e-06,7.95917355,30654.27157738,503.619495937347,"large","generate_permutations","cached","Non-Recursive"
"run_8_repetition_0","generate_permutations_lru_cache","11 nums",4.88133615202969,4.88131479703588,2.04500975087285e-06,10.87796895,30637.01339286,519.07144039154,"large","generate_permutations","lru_cached","Non-Recursive"
"run_0_repetition_0","reverse_string","abcde * 10",3.89029737561941e-05,1.63880176842213e-05,1.07350060716271e-05,11.73767761,27755.27734375,8.9101623840332,"small","reverse_string","base","Recursive"
"run_1_repetition_0","reverse_string_cache","abcde * 10",3.76100069843233e-05,2.55450140684843e-05,4.18978743255138e-07,9.29860183,27758.95833333,8.83122482299805,"small","reverse_string","cached","Recursive"
"run_2_repetition_0","reverse_string_lru_cache","abcde * 10",3.77449905499816e-05,2.42500100284815e-05,7.56990630179644e-07,8.96512127,27766.92838542,8.8720078125,"small","reverse_string","lru_cached","Recursive"
"run_3_repetition_0","reverse_string","abcde * 20",4.99670277349651e-05,2.25190306082368e-05,1.63830118253827e-05,10.19971806,27792.6796875,18.0593664550781,"medium","reverse_string","base","Recursive"
"run_4_repetition_0","reverse_string_cache","abcde * 20",6.32990268059075e-05,5.033501656726e-05,5.07046934217215e-07,12.99616239,27778.59114583,8.86070785522461,"medium","reverse_string","cached","Recursive"
"run_5_repetition_0","reverse_string_lru_cache","abcde * 20",0.000171904044691473,0.000145940051879734,1.33499270305037e-06,9.3055556,27811.01171875,8.65050846862793,"medium","reverse_string","lru_cached","Recursive"
"run_6_repetition_0","reverse_string","abcde * 30",0.000105527986306697,5.36969746463001e-05,3.82669968530536e-05,10.43206996,27834.41796875,8.95438320922852,"large","reverse_string","base","Recursive"
"run_7_repetition_0","reverse_string_cache","abcde * 30",0.000122366996947676,0.000110484019387513,6.63974788039923e-07,11.20875136,27812.60546875,8.96417414474487,"large","reverse_string","cached","Recursive"
"run_8_repetition_0","reverse_string_lru_cache","abcde * 30",0.000117868010420352,0.000106270017568022,5.6001590564847e-07,12.07941747,27808.01171875,8.32871897506714,"large","reverse_string","lru_cached","Recursive"
"run_0_repetition_0","unique_paths","3 x 3 grid",1.74580491147935e-05,4.01103170588613e-06,1.56101305037737e-06,12.1190287,27818.65755208,8.58597030639648,"small","unique_paths","base","Recursive"
"run_1_repetition_0","unique_paths_cache","3 x 3 grid",1.64220109581947e-05,5.31697878614068e-06,5.13042323291302e-07,12.04469518,27820.37890625,8.73354640960693,"small","unique_paths","cached","Recursive"
"run_2_repetition_0","unique_paths_lru_cache","3 x 3 grid",2.33249738812447e-05,6.58497447147965e-06,5.46977389603853e-07,7.29166683,27825.74609375,9.40189516067505,"small","unique_paths","lru_cached","Recursive"
"run_3_repetition_0","unique_paths","6 x 6 grid",8.93200049176812e-05,4.0579994674772e-05,3.65329906344414e-05,8.62599212,27833.95572917,8.56003280639648,"medium","unique_paths","base","Recursive"
"run_4_repetition_0","unique_paths_cache","6 x 6 grid",2.31110025197268e-05,1.32669811137021e-05,5.1502138376236e-07,10.88932087,27992.75390625,10.0148754920959,"medium","unique_paths","cached","Recursive"
"run_5_repetition_0","unique_paths_lru_cache","6 x 6 grid",2.09159916266799e-05,1.12539855763316e-05,4.43949829787016e-07,5.93704939,27794.48046875,7.51941445159912,"medium","unique_paths","lru_cached","Recursive"
"run_6_repetition_0","unique_paths","9 x 9 grid",0.00322274002246559,0.00167481898097321,0.00153982598567382,8.58844566,27803.13151042,8.04398075866699,"large","unique_paths","base","Recursive"
"run_7_repetition_0","unique_paths_cache","9 x 9 grid",3.66280437447131e-05,2.68400181084871e-05,4.77011781185865e-07,5.5414579,27735.55078125,7.54740144729614,"large","unique_paths","cached","Recursive"
"run_8_repetition_0","unique_paths_lru_cache","9 x 9 grid",3.27239977195859e-05,2.28040153160691e-05,4.78990841656923e-07,8.81545735,27735.03125,7.36630393981934,"large","unique_paths","lru_cached","Recursive"
"run_0_repetition_0","dijkstra","graph with 15 nodes",0.00011815398465842,6.15649623796344e-05,4.22929879277945e-05,8.9926047,27679.3359375,10.9391612854004,"large","dijkstra","base","Non-Recursive"
"run_1_repetition_0","dijkstra_cache","graph with 15 nodes",7.49249593354762e-05,6.17719488218427e-05,9.67003870755434e-07,13.75026127,27579.859375,9.35295430755615,"large","dijkstra","cached","Non-Recursive"
"run_2_repetition_0","dijkstra_lru_cache","graph with 15 nodes",7.56710069254041e-05,6.30299909971654e-05,7.9302117228508e-07,7.17288017,27470.31901042,8.77116172790527,"large","dijkstra","lru_cached","Non-Recursive"
"run_3_repetition_0","dijkstra","graph with 10 nodes",0.000167720019817352,8.59550200402737e-05,6.70390436425805e-05,14.372259,27478.04557292,8.86911798095703,"medium","dijkstra","base","Non-Recursive"
"run_4_repetition_0","dijkstra_cache","graph with 10 nodes",0.000104328035376966,9.14810225367546e-05,7.9302117228508e-07,11.80626765,27556.58854167,8.92381713867187,"medium","dijkstra","cached","Non-Recursive"
"run_5_repetition_0","dijkstra_lru_cache","graph with 10 nodes",0.00010814395500347,9.41739999689162e-05,8.24977178126574e-07,12.08430653,27496.18359375,8.95982934570313,"medium","dijkstra","lru_cached","Non-Recursive"
"run_6_repetition_0","dijkstra","graph with 5 nodes",0.000258070009294897,0.000136867980472744,0.000109050015453249,18.25311407,27549.2890625,11.8022543945312,"small","dijkstra","base","Non-Recursive"
"run_7_repetition_0","dijkstra_cache","graph with 5 nodes",0.000146904960274696,0.000134245958179235,8.17992258816957e-07,16.38831939,27573.20182292,10.4227341308594,"small","dijkstra","cached","Non-Recursive"
"run_8_repetition_0","dijkstra_lru_cache","graph with 5 nodes",0.000147769984323531,0.000135181995574385,7.77014065533876e-07,18.47476189,27529.08463542,9.94887841796875,"small","dijkstra","lru_cached","Non-Recursive"
"run_0_repetition_0","edit_distance","Pair of 5-character random strings",0.000700689037330449,0.000343772990163416,0.000336029042955488,3.72564935,28518.11328125,7.50886556625366,"small","edit_distance","base","Recursive"
"run_1_repetition_0","edit_distance_cache","Pair of 5-character random strings",5.07709919475019e-05,2.83099943771958e-05,7.76955857872963e-07,6.61706356,28522.57291667,7.43218309020996,"small","edit_distance","cached","Recursive"
"run_2_repetition_0","edit_distance_lru_cache","Pair of 5-character random strings",5.15070278197527e-05,2.82649998553097e-05,7.59027898311615e-07,4.06250002,28525.63541667,7.74233701705933,"small","edit_distance","lru_cached","Recursive"
"run_3_repetition_0","edit_distance","Pair of 8-character random strings",0.0429355450323783,0.0233451660024002,0.0195711190463044,5.04193727,28513.6953125,7.72340690612793,"medium","edit_distance","base","Recursive"
"run_4_repetition_0","edit_distance_cache","Pair of 8-character random strings",7.90850026533008e-05,5.62809873372316e-05,7.94010702520609e-07,10.37788602,28517.5625,7.45671614074707,"medium","edit_distance","cached","Recursive"
"run_5_repetition_0","edit_distance_lru_cache","Pair of 8-character random strings",7.89840123616159e-05,5.58990286663175e-05,8.03964212536812e-07,8.59623023,28536.5390625,7.41903076171875,"medium","edit_distance","lru_cached","Recursive"
"run_6_repetition_0","edit_distance","Pair of 11-character random strings",5.81195842998568,2.9050917950226,2.90683524298947,7.45216881,28541.27532762,354.395866348267,"large","edit_distance","base","Recursive"
"run_7_repetition_0","edit_distance_cache","Pair of 11-character random strings",0.000118541007395834,9.57709853537381e-05,9.00006853044033e-07,5.10912712,28561.59375,8.37520893859863,"large","edit_distance","cached","Recursive"
"run_8_repetition_0","edit_distance_lru_cache","Pair of 11-character random strings",0.000118719995953143,9.50769754126668e-05,8.8399974629283e-07,4.4444445,28554.796875,7.63806477355957,"large","edit_distance","lru_cached","Recursive"
"run_0_repetition_0","fibonacci","10 terms",5.08429948240519e-05,1.42880016937852e-05,1.16779701784253e-05,7.23710329,27670.7109375,9.36638703918457,"small","fibonacci","base","Recursive"
