Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727457710411,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,81,74,75,76,81,76,74,79,50,0,0,0,0,0,0,0,0,0,50,0,100,0,50,0,73.78663635253906,68719476736,2147483648,32341409792,470810624
202,1727457710411,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,81,74,75,76,81,76,74,79,NaN,0,100,0,50,0,50,0,100,0,NaN,0,66.66667175292969,0,0,0,73.78663635253906,68719476736,2147483648,32341409792,470810624
204,1727457710614,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,81,74,75,76,81,76,74,79,80.95238494873047,26.3157901763916,71.42857360839844,23.809524536132813,80,23.809524536132813,90,19.047618865966797,76.19047546386719,15.000000953674316,85.71428680419922,14.285715103149414,75,33.333335876464844,90,9.523809432983398,73.78663635253906,68719476736,2147483648,32341409792,470810624
201,1727457710819,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,81,74,75,76,81,76,74,79,55,0,47.36842346191406,0,60.000003814697266,0,71.42857360839844,0,52.38095474243164,4.761904716491699,45,0,45,0,45,0,77.17317962646484,68719476736,2147483648,32341409792,470810624
200,1727457711022,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,76,76,88,84,75,88,76,52.38095474243164,0,63.6363639831543,0,40,0,42.105262756347656,0,45,0,23.809524536132813,0,33.333335876464844,0,40,0,77.17317962646484,68719476736,2147483648,32341409792,470810624
12,1727457711222,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,76,76,88,84,75,88,76,68.42105102539063,10,52.6315803527832,9.523809432983398,47.619049072265625,4.761904716491699,70,5,47.36842346191406,5.263157844543457,45,9.523809432983398,55,5,45,5,77.17317962646484,68719476736,2147483648,32346062848,470810624
