Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729747200261,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,65,61,61,60,60,61,60,100,0,0,0,0,0,0,0,33.333335876464844,0,0,0,0,0,0,0,37.41959762573242,68719476736,0,28960833536,0
204,1729747200261,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,65,61,61,60,60,61,60,0,0,0,0,0,0,0,0,50,0,100,0,0,0,0,0,37.41959762573242,68719476736,0,28960833536,0
209,1729747200466,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,65,61,61,60,60,61,60,40,0,19.047618865966797,0,4.761904716491699,0,0,0,85.71428680419922,0,31.57894515991211,0,20,0,9.523809432983398,0,37.41959762573242,68719476736,0,28960833536,0
206,1729747200676,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,69,78,77,69,70,66,66,50,0,19.047618865966797,0,25,0,23.809524536132813,0,19.047618865966797,0,36.3636360168457,0,22.72727394104004,0,23.809524536132813,0,37.57097625732422,68719476736,0,28960833536,0
200,1729747200883,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,69,78,77,69,70,66,66,10,0,0,0,100,0,0,0,5,0,4.761904716491699,0,4.761904716491699,0,4.761904716491699,0,37.57097625732422,68719476736,0,28960833536,0
199,1729747201084,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,69,78,77,69,70,66,66,9.523809432983398,0,0,0,66.66667175292969,0,0,0,21.052631378173828,0,5,0,0,0,15.000000953674316,0,37.57097625732422,68719476736,0,28970614784,0
20,1729747201285,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,69,78,77,69,70,66,66,25,0,4.761904716491699,0,0,0,4.761904716491699,0,42.85714340209961,0,14.285715103149414,0,4.761904716491699,0,0,0,37.57097625732422,68719476736,0,28959096832,0
