__run_id,__done,input_size,sampling_rate,cache_strategy,input_description,execution_time,average_cpu_usage,memory_usage,energy_consumption,dram_energy,package_energy,pp0_energy,pp1_energy
run_0_repetition_0,DONE,"(1, 2, 3, 4, 5)",200,generate_permutations,5 nums,1.1374999303370714e-05,10.67956372,24656.01822917,7.55790412902832,0.0,0.0,0.0,0.0
run_1_repetition_0,DONE,"(1, 2, 3, 4, 5)",200,generate_permutations_cache,5 nums,6.599584594368935e-07,-3.8235031200000007,85.05598957999973,0.06923620223999016,0.0,0.0,0.0,0.0
run_2_repetition_0,DONE,"(1, 2, 3, 4, 5)",200,generate_permutations_lru_cache,5 nums,6.280024535953999e-07,-5.363456190000001,69.76171875,-0.18049535751342738,0.0,0.0,0.0,0.0
run_3_repetition_0,DONE,"(1, 2, 3, 4, 5, 6, 7, 8)",200,generate_permutations,8 nums,0.0053328319918364,7.90674603,24815.58984375,7.5210829544067375,0.0,0.0,0.0,0.0
run_4_repetition_0,DONE,"(1, 2, 3, 4, 5, 6, 7, 8)",200,generate_permutations_cache,8 nums,1.200998667627573e-06,5.179615859999999,-13.65625,-0.13418256378173687,0.0,0.0,0.0,0.0
run_5_repetition_0,DONE,"(1, 2, 3, 4, 5, 6, 7, 8)",200,generate_permutations_lru_cache,8 nums,1.0569929145276546e-06,-0.8966307599999999,6.74609375,0.12614892196655436,0.0,0.0,0.0,0.0
run_6_repetition_0,DONE,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11)",200,generate_permutations,11 nums,0.5780260869651102,9.69407423,24895.14648438,29.3262790145874,0.0,0.0,0.0,0.0
run_7_repetition_0,DONE,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11)",200,generate_permutations_cache,11 nums,3.168999683111906e-06,0.02138403000000011,-70.2265625,0.22189577102661673,0.0,0.0,0.0,0.0
run_8_repetition_0,DONE,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11)",200,generate_permutations_lru_cache,11 nums,2.3070024326443672e-06,-0.09544267000000062,45.64034598000217,8.301189308166506,0.0,0.0,0.0,0.0
