Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729726843167,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,65,65,68,65,63,65,63,66.66667175292969,0,0,0,0,0,0,0,33.333335876464844,0,50,0,0,0,0,0,49.309574127197266,68719476736,0,35926310912,0
203,1729726843168,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,65,65,68,65,63,65,63,NaN,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,49.309574127197266,68719476736,0,35928584192,0
203,1729726843371,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,65,65,68,65,63,65,63,35,0,25,0,42.105262756347656,0,19.047618865966797,0,40,0,25,0,28.571430206298828,0,35,0,49.309574127197266,68719476736,0,35943976960,0
199,1729726843576,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,65,65,68,65,63,65,63,38.095237731933594,0,20,0,23.809524536132813,0,14.285715103149414,0,50,0,28.571430206298828,0,45,0,38.095237731933594,0,49.309574127197266,68719476736,0,35967447040,0
200,1729726843776,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,65,65,68,65,63,65,63,10,0,4.761904716491699,0,10.526315689086914,0,0,0,14.285715103149414,0,75,0,0,0,5,0,49.309574127197266,68719476736,0,35979448320,0
201,1729726843976,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,72,67,68,68,66,67,65,36.842105865478516,5,4.761904716491699,0,14.285715103149414,0,0,0,21.052631378173828,0,15.789472579956055,0,33.333335876464844,0,10,0,44.4007682800293,68719476736,0,35997057024,0
199,1729726844178,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,72,67,68,68,66,67,65,23.809524536132813,0,0,0,5,0,4.761904716491699,0,55,0,9.523809432983398,0,45,0,10,0,44.4007682800293,68719476736,0,36017467392,0
204,1729726844378,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,72,67,68,68,66,67,65,20,0,0,0,0,0,0,0,14.285715103149414,0,10,0,5,0,94.73684692382813,0,44.4007682800293,68719476736,0,35982921728,0
201,1729726844583,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,72,67,68,68,66,67,65,19.047618865966797,0,5,0,33.333335876464844,0,10,0,15.789472579956055,0,15.000000953674316,0,60.000003814697266,0,9.090909004211426,0,44.4007682800293,68719476736,0,35982921728,0
203,1729726844785,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,72,67,68,68,66,67,65,36.842105865478516,0,9.523809432983398,0,0,4.761904716491699,0,0,28.571430206298828,0,33.333335876464844,4.761904716491699,20,0,15.000000953674316,0,44.4007682800293,68719476736,0,35982921728,0
